[16-04-2023 18:25:37.641] [INFO] Old Log file found! "E:\Minecraft mods\Instances\Factory In the Clouds\.\Cat-Downloader.log" file replaced with empty one.
[16-04-2023 18:25:37.648] [INFO] Logger Initialization completed.
[16-04-2023 18:25:37.648] [INFO] Cat Downloader version: 1.1
[16-04-2023 18:25:37.648] [INFO] Running with arguments:
[16-04-2023 18:25:37.648] [INFO] ---------------------------------------------------------------------
[16-04-2023 18:25:37.649] [INFO] Program Configuration from Arguments:
[16-04-2023 18:25:37.649] [INFO] · Working directory: 
[16-04-2023 18:25:37.650] [INFO] - Full Path: E:\Minecraft mods\Instances\Factory In the Clouds
[16-04-2023 18:25:37.650] [INFO] · Program Mode: instance
[16-04-2023 18:25:37.650] [INFO] · Thread count for downloads: 16
[16-04-2023 18:25:37.651] [INFO] · Download attempts for re-downloads: 5
[16-04-2023 18:25:37.651] [INFO] · Settings enabled: true
[16-04-2023 18:25:37.651] [INFO] · Default Settings from the template: true
[16-04-2023 18:25:37.652] [INFO] · Settings Path: 
[16-04-2023 18:25:37.652] [INFO] - Full Path: E:\Minecraft mods\Instances\Factory In the Clouds
[16-04-2023 18:25:37.652] [INFO] · Hash Verification: true
[16-04-2023 18:25:37.653] [INFO] · File Size Verification: true
[16-04-2023 18:25:37.653] [INFO] ---------------------------------------------------------------------
[16-04-2023 18:25:37.679] [INFO] Settings initialization started.
[16-04-2023 18:25:37.680] [INFO] Found settings file!
[16-04-2023 18:25:37.680] [INFO] - Path to settings file: E:\Minecraft mods\Instances\Factory In the Clouds\Cat-Downloader-Legacy Settings.json5
[16-04-2023 18:25:37.680] [INFO] Parsing data from settings file...
[16-04-2023 18:25:37.689] [INFO] Parsing of Settings was successful!
[16-04-2023 18:25:37.690] [INFO] Validating settings...
[16-04-2023 18:25:37.690] [INFO] Loading Settings data to Argument Decoder...
[16-04-2023 18:25:37.691] [INFO] ---------------------------------------------------------------------
[16-04-2023 18:25:37.691] [INFO] Program Configuration from Settings:
[16-04-2023 18:25:37.691] [INFO] · Working directory: 
[16-04-2023 18:25:37.691] [INFO] - Full Path: E:\Minecraft mods\Instances\Factory In the Clouds
[16-04-2023 18:25:37.691] [INFO] · Program Mode: instance
[16-04-2023 18:25:37.692] [INFO] · Thread count for downloads: 16
[16-04-2023 18:25:37.692] [INFO] · Download attempts for re-downloads: 5
[16-04-2023 18:25:37.692] [INFO] · Settings enabled: true
[16-04-2023 18:25:37.692] [INFO] · Default Settings from the template: true
[16-04-2023 18:25:37.693] [INFO] · Settings Path: 
[16-04-2023 18:25:37.693] [INFO] - Full Path: E:\Minecraft mods\Instances\Factory In the Clouds
[16-04-2023 18:25:37.693] [INFO] · Hash Verification: false
[16-04-2023 18:25:37.693] [INFO] · File Size Verification: true
[16-04-2023 18:25:37.694] [INFO] ---------------------------------------------------------------------
[16-04-2023 18:25:37.694] [INFO] Loading data to ARD finished!
[16-04-2023 18:25:37.694] [INFO] Initialization of Settings finished.
[16-04-2023 18:25:37.695] [INFO] Reading data from Manifest file...
[16-04-2023 18:25:37.731] [INFO] Translating MinecraftInstance into Manifest compatible object...
[16-04-2023 18:25:37.737] [INFO] Translation successful
[16-04-2023 18:25:37.744] [INFO] Data fetched. Found 121 Mods, on version 1.19.2 fabric-0.14.19-1.19.2
[16-04-2023 18:25:37.745] [INFO] Instance name: Factory In the Clouds
[16-04-2023 18:25:37.746] [INFO] Mod Loader: fabric-0.14.19-1.19.2
[16-04-2023 18:25:37.748] [INFO] Found "mods" folder in working directory. Path: E:\Minecraft mods\Instances\Factory In the Clouds\mods
[16-04-2023 18:25:37.749] [INFO] Starting new instance of FileManager!
[16-04-2023 18:25:37.751] [INFO] Started syncing process.
[16-04-2023 18:25:37.751] [INFO] Checking for already existing files, and getting download queue ready...
[16-04-2023 18:25:37.753] [INFO] Found mod iris-flywheel-compat-1.19.2-0.1.9-BETA.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.754] [INFO] Found mod PuzzlesLib-v4.3.12-1.19.2-Fabric.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.754] [INFO] Found mod Croptopia-1.19.2-FABRIC-2.2.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.754] [INFO] Found mod starlight-1.1.1+fabric.ae22326.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.754] [INFO] Found mod 3dskinlayers-fabric-1.5.2-mc1.19.1.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.755] [INFO] Found mod connectivity-fabric-1.19.2-3.8.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.755] [INFO] Found mod advdebug-2.3.0.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.755] [INFO] Found mod createaddition-fabric+1.19.2-20230211a.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.756] [INFO] Found mod indium-1.0.9+mc1.19.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.756] [INFO] Found mod ftbbackups2-fabric-1.19.2-1.0.18.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.756] [INFO] Found mod Pehkui-3.7.3+1.14.4-1.20.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.756] [INFO] Found mod Runelic-Fabric-1.19.2-14.1.4.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.757] [INFO] Found mod creeperoverhaul-2.0.9-fabric.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.757] [INFO] Found mod avaritia-0.0.4-1.19.X.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.757] [INFO] Found mod megacells-fabric-1.5.3-1.19.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.757] [INFO] Found mod Patchouli-1.19.2-77-FABRIC.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.758] [INFO] Found mod icarus-1.14.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.758] [INFO] Found mod bclib-2.1.6.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.758] [INFO] Found mod MouseTweaks-fabric-mc1.19-2.22.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.758] [INFO] Found mod sodium-fabric-mc1.19.2-0.4.4+build.18.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.759] [INFO] Found mod NoChatReports-FABRIC-1.19.2-v1.13.12.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.759] [INFO] Found mod fabric-api-0.76.0+1.19.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.759] [INFO] Found mod cloth-config-8.2.88-fabric.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.760] [INFO] Found mod iris-mc1.19.2-1.6.0.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.760] [INFO] Found mod Prism-1.19.2-fabric-1.0.3.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.760] [INFO] Found mod AE2WTLib-12.8.5.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.760] [INFO] Found mod kubejs_botania-1.0.4-fix2-fabric.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.761] [INFO] Found mod LegendaryTooltips-1.19.2-fabric-1.3.3.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.761] [INFO] Found mod MagnumTorch-v4.2.1-1.19.2-Fabric.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.761] [INFO] Found mod youre-in-grave-danger-1.4.8.jar on the drive! Added to Verification queue.
